テキスト（この行は削除しないでください。）,クラス
これは学習データです。クラスAのテキスト1です。,クラスA
これは学習データです。クラスAのテキスト2です。,クラスA
これは学習データです。クラスAのテキスト3です。,クラスA
これは学習データです。クラスAのテキスト4です。,クラスA
これは学習データです。クラスAのテキスト5です。,クラスA
これは学習データです。クラスAのテキスト6です。,クラスA
これは学習データです。クラスAのテキスト7です。,クラスA
これは学習データです。クラスBのテキスト1です。,クラスB
これは学習データです。クラスBのテキスト2です。,クラスB
これは学習データです。クラスBのテキスト3です。,クラスB
これは学習データです。クラスCのテキスト1です。,クラスC
これは学習データです。クラスCのテキスト2です。,クラスC
これは学習データです。クラスCのテキスト3です。,クラスC
これは学習データです。クラスCのテキスト4です。,クラスC
これは学習データです。クラスCのテキスト5です。,クラスC
これは学習データです。クラスCのテキスト6です。,クラスC
これは学習データです。クラスCのテキスト7です。,クラスC
これは学習データです。クラスCのテキスト8です。,クラスC
これは学習データです。クラスDのテキスト1です。,クラスD
これは学習データです。クラスDのテキスト2です。,クラスD
これは学習データです。クラスDのテキスト3です。,クラスD
これは学習データです。クラスDのテキスト4です。,クラスD
これは学習データです。クラスDのテキスト5です。,クラスD
これは学習データです。クラスDのテキスト6です。,クラスD
これは学習データです。クラスDのテキスト7です。,クラスD
これは学習データです。クラスEのテキスト1です。,クラスE
これは学習データです。クラスEのテキスト2です。,クラスE
これは学習データです。クラスEのテキスト3です。,クラスE
これは学習データです。クラスEのテキスト4です。,クラスE
これは学習データです。クラスEのテキスト5です。,クラスE
ああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいういいいいいいいいいいいいいいいいいいいいいいい,クラスE